Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	44498487.000000	2855219.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	44498485.976003	2855218.950035	1.913245	0.974048	0.000000	0.000000	0.109797	0.061279	0.000955	0.014638	0.000000	0.000000	1.073962	0.000000	
2.005495	44498484.328262	2855218.881377	3.359948	0.968068	0.000000	0.000000	0.309100	0.121526	0.002690	0.029029	0.000000	0.000000	2.790361	0.000000	
3.008242	44498481.682431	2855218.782152	5.661546	0.992048	0.000000	0.000000	0.650365	0.182263	0.005659	0.043537	0.000000	0.000000	5.535417	0.000000	
4.010989	44498477.433651	2855218.633212	9.337328	1.062240	0.000000	0.000000	1.218419	0.245827	0.010602	0.058721	0.000000	0.000000	9.933137	0.000000	
5.013736	44498470.611951	2855218.403884	15.219984	1.204819	0.000000	0.000000	2.149363	0.315850	0.018702	0.075447	0.000000	0.000000	16.984166	0.000000	
6.016484	44498459.704640	2855218.046365	24.608044	1.460694	0.000000	0.000000	3.655509	0.397895	0.031808	0.095046	0.000000	0.000000	28.248995	0.000000	
7.019231	44498442.168541	2855217.480325	39.684565	1.898753	0.000000	0.000000	6.093870	0.501200	0.053025	0.119722	0.000000	0.000000	46.351134	0.000000	
8.021978	44498414.023799	2855216.580078	63.865792	2.626884	0.000000	0.000000	10.023194	0.640130	0.087215	0.152908	0.000000	0.000000	75.396123	0.000000	
9.024725	44498369.101375	2855215.150830	102.447080	3.812398	0.000000	0.000000	16.309629	0.836869	0.141915	0.199904	0.000000	0.000000	121.747795	0.000000	
10.027473	44498296.941192	2855212.862322	164.407044	5.739075	0.000001	0.000000	26.421858	1.128934	0.229904	0.269669	0.000000	0.000000	196.196486	0.000001	
11.030220	44498180.946525	2855209.190561	263.991745	8.857259	0.000001	0.000000	42.690267	1.575773	0.371461	0.376406	0.000000	0.000000	315.862913	0.000002	
12.032967	44497995.545652	2855203.328217	423.151001	13.860889	0.000004	0.000000	68.705516	2.268916	0.597827	0.541978	0.000000	0.000000	507.126132	0.000004	
