Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	44498487.000000	2855219.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	44023647.976928	2855218.950068	1.906429	0.974016	0.000058	0.000000	474838.115631	0.061279	0.000954	0.014638	474838.006044	0.000000	1.066960	0.000059	
2.005495	43548808.361744	2855218.881771	3.316223	0.967687	0.000314	0.000000	949676.319046	0.121515	0.002674	0.029026	949676.012088	0.000000	2.744397	0.000327	
3.008242	43073967.828423	2855218.784019	5.506129	0.990260	0.000975	0.000000	1424514.658890	0.182199	0.005584	0.043522	1424514.018132	0.000000	5.369426	0.001035	
4.010989	42599125.882793	2855218.639877	8.894920	1.055955	0.002394	0.000000	1899353.209559	0.245520	0.010335	0.058648	1899352.024176	0.000000	9.453155	0.002577	
5.013736	42124281.760612	2855218.422781	14.128452	1.187157	0.005222	0.000000	2374192.087766	0.314852	0.017949	0.075209	2374190.030220	0.000000	15.786387	0.005688	
6.016484	41649434.341709	2855218.093213	22.150728	1.417197	0.010574	0.000000	2849031.467044	0.395190	0.029944	0.094399	2849028.036264	0.000000	25.528814	0.011633	
7.019231	41174581.943275	2855217.591536	34.378643	1.796422	0.020195	0.000000	3323871.609272	0.494032	0.048616	0.118010	3323866.042308	0.000000	40.422881	0.022398	
8.021978	40699721.969431	2855216.824007	52.990329	2.403844	0.037230	0.000000	3798712.925443	0.623268	0.077566	0.148881	3798704.048352	0.000000	63.158210	0.041592	
9.024725	40224850.736228	2855215.655367	81.067383	3.353258	0.066725	0.000000	4273556.007671	0.800224	0.121992	0.191150	4273542.054396	0.000000	97.554009	0.075017	
10.027473	39749962.882520	2855213.887485	123.088870	4.811211	0.116338	0.000000	4748401.722769	1.050395	0.189503	0.250909	4748380.060440	0.000000	149.169556	0.131516	
11.030220	39275050.238201	2855211.214188	185.862814	7.034517	0.198804	0.000000	5223251.408333	1.413622	0.291847	0.337673	5223218.066484	0.000000	226.481127	0.225850	
12.032967	38800101.057262	2855207.186605	279.140314	10.398589	0.334638	0.000000	5698107.021552	1.949199	0.446234	0.465607	5698056.072527	0.000000	341.683606	0.381893	
13.035714	38325099.016597	2855201.170344	416.427650	15.432556	0.555005	0.000000	6172971.323785	2.742094	0.676963	0.655007	6172894.078571	0.000000	511.734488	0.636045	
14.038462	37850020.480369	2855192.244603	617.273165	22.903862	0.905486	0.000000	6647848.321687	3.916094	1.019292	0.935441	6647732.084615	0.000000	761.190412	1.041658	
15.041209	37374830.397239	2855179.013279	910.538628	33.971698	1.461241	0.000000	7122744.076277	5.662432	1.526616	1.352591	7122570.090659	0.000000	1126.498823	1.687115	
16.043956	36899480.817363	2855159.531057	1335.558076	50.246377	2.333883	0.000001	7597667.017424	8.251518	2.273254	1.971048	7597408.096703	0.000000	1657.554878	2.704069	
17.046703	36423905.760332	2855131.077565	1946.275082	73.973101	3.687520	0.000002	8072628.914024	12.066899	3.363041	2.882432	8072246.102747	0.000000	2423.059356	4.286813	
18.049451	35948011.389159	2855089.770968	2819.356649	108.352459	5.758316	0.000004	8547646.551787	17.658472	4.944089	4.218097	8547084.108791	0.000000	3520.731082	6.715475	
