Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	32136267.000000	27172420.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	31987586.908054	27172419.373431	1.919090	1.531122	0.000025	0.000000	148679.171877	0.077043	0.000953	0.018403	148679.062397	0.000000	1.656118	0.000026	
2.005495	31838906.055354	27172418.267415	3.503845	2.485978	0.000149	0.000000	297358.437926	0.199058	0.002726	0.047549	297358.124794	0.000000	4.552437	0.000155	
3.008242	31690223.879555	27172416.325151	6.247191	4.177704	0.000497	0.000000	446037.866839	0.401289	0.005918	0.095856	446037.187191	0.000000	9.608103	0.000526	
4.010989	31541539.415154	27172412.930771	10.994851	7.146741	0.001334	0.000000	594717.577098	0.744620	0.011563	0.177868	594716.249588	0.000000	18.404488	0.001430	
5.013736	31392850.987799	27172407.012281	19.212795	12.333617	0.003178	0.000000	743397.774771	1.335169	0.021457	0.318933	743395.311985	0.000000	33.687935	0.003438	
6.016484	31244155.702360	27172396.705017	33.434158	21.373565	0.007086	0.000000	892078.817672	2.358130	0.038724	0.563289	892074.374382	0.000000	60.218241	0.007726	
7.019231	31095448.711850	27172378.876637	57.898350	37.012683	0.014985	0.000000	1040761.306211	4.125272	0.068605	0.985408	1040753.436779	0.000000	105.974734	0.016439	
8.021978	30946721.370151	27172347.910988	100.163598	64.172250	0.030742	0.000000	1189446.315026	7.197491	0.120483	1.719272	1189432.499176	0.000000	185.219686	0.033895	
9.024725	30797959.358736	27172294.454550	172.739264	111.044157	0.061549	0.000000	1338135.630484	12.512435	0.209966	2.988858	1338111.561573	0.000000	321.625142	0.068142	
10.027473	30649138.217895	27172202.485694	296.988772	191.656053	0.120334	0.000001	1486832.309236	21.679620	0.363763	5.178632	1486790.623970	0.000000	555.672441	0.133681	
11.030220	30500214.985355	27172043.689639	510.411379	330.784098	0.232402	0.000002	1635541.741866	37.555372	0.628999	8.970889	1635469.686367	0.000000	958.638640	0.258940	
12.032967	30351119.500585	27171771.589875	874.212969	569.075930	0.442622	0.000008	1784272.760906	64.844675	1.082918	15.489512	1784148.748764	0.000000	1647.160777	0.494393	
13.035714	30201730.450329	27171305.591177	1494.192592	976.995674	0.831991	0.000021	1933040.665736	111.725212	1.859351	26.687915	1932827.811161	0.000000	2823.147333	0.931338	
14.038462	30051839.403765	27170506.292382	2551.992995	1676.341600	1.553601	0.000065	2081871.860262	192.405782	3.189377	45.960171	2081506.873558	0.000000	4834.430295	1.742504	
15.041209	29901108.191777	27169146.533386	4342.182755	2865.498500	2.870527	0.000191	2230809.305836	330.113376	5.449105	78.854547	2230185.935955	0.000000	8246.338883	3.225079	
16.043956	29748947.171411	27166828.762917	7378.175739	4891.512998	5.263001	0.000542	2379928.093743	565.614525	9.296105	135.109018	2378864.998352	0.000000	14046.067320	5.922472	
17.046703	29594366.733882	27162881.127883	12520.934937	8340.457952	9.606089	0.001665	2529354.884985	968.149334	15.840108	231.263166	2527544.060749	0.000000	23895.077486	10.825802	
18.049451	29435765.372429	27156212.165425	21163.166442	14164.023035	17.377528	0.004695	2679295.201325	1650.539705	26.882277	394.267138	2676223.123146	0.000000	40486.339000	19.610885	
19.052198	29270349.462186	27144908.925904	35732.723025	24029.167810	31.286340	0.013256	2830108.950599	2811.341902	45.577850	671.551127	2824902.185543	0.000000	68526.426368	35.355397	
