Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	32136267.000000	27172420.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	32055704.583075	27104301.697969	1.920313	1.530334	0.000014	0.000008	80561.495644	68117.753289	0.000953	0.018399	80561.386126	68117.676271	1.656559	0.000023	
2.005495	31975141.399098	27036182.918799	3.512225	2.482183	0.000081	0.000050	161123.085866	136235.551444	0.002730	0.047524	161122.772253	136235.352541	4.557309	0.000136	
3.008242	31894576.881088	26968063.311070	6.273131	4.163912	0.000269	0.000168	241684.839582	204353.429175	0.005930	0.095675	241684.158379	204353.028812	9.620652	0.000461	
4.010989	31814010.030390	26899942.255660	11.078613	7.118774	0.000725	0.000454	322246.878656	272471.447630	0.011615	0.177481	322245.544505	272470.705082	18.464362	0.001257	
5.013736	31733439.160947	26831818.707173	19.406340	12.263943	0.001729	0.001085	402809.409401	340589.710132	0.021584	0.317666	402806.930632	340588.381353	33.819896	0.003027	
6.016484	31652861.257783	26763690.796131	33.897597	21.239191	0.003850	0.002423	483372.801712	408708.401735	0.039058	0.560519	483368.316758	408706.057624	60.571703	0.006795	
7.019231	31572271.220836	26695555.360076	59.018158	36.817268	0.008202	0.005171	563937.683293	476827.836303	0.069511	0.981182	563929.702885	476823.733894	106.982309	0.014570	
8.021978	31491660.346027	26627407.001678	102.387842	63.729500	0.016803	0.010607	644505.127033	544948.550147	0.122295	1.708068	644491.089011	544941.410165	187.153119	0.029999	
9.024725	31411013.050084	26559236.057774	177.642308	110.442891	0.033725	0.021309	725077.059672	613071.506212	0.214211	2.971814	725052.475137	613059.086435	326.330569	0.060463	
10.027473	31330303.590305	26491026.565249	307.297268	190.938759	0.066393	0.041980	805656.672940	681198.299476	0.373095	5.154537	805613.861264	681176.762706	566.220477	0.119435	
11.030220	31249487.271672	26422750.808506	530.436652	329.486871	0.128271	0.081151	886249.516054	749331.702834	0.647350	8.920638	886175.247390	749294.438977	979.233455	0.231410	
12.032967	31168485.600789	26354360.112818	915.663771	568.688389	0.245600	0.155449	966865.367550	817476.602160	1.122290	15.441184	966736.633516	817412.115247	1692.537629	0.444164	
13.035714	31087169.852047	26285774.652894	1575.442611	978.382222	0.464425	0.294059	1047520.302724	885641.029144	1.938193	26.641681	1047298.019643	885529.791518	2914.683898	0.841642	
14.038462	31005313.861834	26216854.178250	2707.313537	1681.241064	0.869276	0.550563	1128242.613385	953839.118758	3.341968	45.911366	1127859.405769	953647.467788	5012.086358	1.578205	
15.041209	30922529.132145	26147357.755632	4650.414025	2887.884299	1.618697	1.025456	1209081.075721	1022095.239455	5.759412	79.095158	1208420.791896	1021765.144059	8614.176268	2.943536	
16.043956	30838180.168871	26076891.258958	7959.309870	4942.736172	2.984723	1.891175	1290115.647904	1090449.337454	9.888631	135.776241	1288982.178022	1089882.820330	14750.573819	5.435183	
17.046703	30751142.519503	26004757.243703	13614.883755	8455.064246	5.472138	3.467622	1371488.156510	1158972.268114	16.968094	232.956316	1369543.564148	1158000.496600	25243.176045	9.977487	
18.049451	30659527.450324	25929783.860744	23263.564064	14447.871991	9.996502	6.334464	1453437.901126	1227783.597976	29.087983	399.334826	1450104.950275	1226118.172871	43152.565786	18.246929	
19.052198	30560244.744654	25850053.604659	39598.224875	24594.567086	18.110600	11.474652	1536357.243998	1297079.376509	49.675873	681.977095	1530666.336401	1294235.849141	73486.465145	33.089429	
20.054945	30447838.217354	25762178.696234	67369.975483	41849.652441	32.710927	20.718022	1620942.282322	1367207.508687	84.813914	1164.424616	1611227.722527	1362353.525412	125088.838473	59.814124	
21.057692	30313371.952021	25660602.547512	114349.504306	71053.017130	58.930268	37.292667	1708343.059762	1438743.276127	144.553643	1984.866563	1691789.108654	1430471.201683	212452.190130	107.815466	
22.060440	30142247.596762	25536244.257132	193225.853276	120111.066370	105.415957	66.633384	1800443.768781	1512629.281541	245.365224	3369.761573	1772350.494780	1498588.877953	359255.773372	192.930009	
23.063187	29909319.917675	25373406.317492	325802.126263	202661.889177	188.386323	118.831832	1900541.491067	1590517.768279	416.078671	5716.193219	1852911.880907	1566706.554224	606342.329702	344.756430	
24.065934	29575470.733779	25147497.945076	545842.898677	339982.782468	336.418201	211.359714	2013915.073879	1675065.866505	702.875465	9663.046237	1933473.267033	1634824.230495	1017420.823618	615.128763	
25.068681	29077945.480312	24818981.336804	907436.325950	566246.504253	597.239254	373.314564	2149108.440358	1770575.070980	1180.514126	16244.773399	2014034.653159	1702941.906765	1694783.622959	1090.546384	
26.071429	28320600.025827	24326115.438592	1492454.632520	934280.838572	1061.656261	658.013379	2320179.577852	1884186.736531	1972.107539	27179.972926	2094596.039286	1771059.583036	2796315.913260	1933.244105	
27.074176	27178855.846397	23586306.009090	2404594.754049	1513359.595659	1891.044661	1155.483432	2547668.569612	2026562.908911	3257.785280	45037.002908	2175157.425412	1839177.259306	4529190.459794	3427.351497	
28.076923	25483419.091757	22483429.619902	3781821.594660	2399553.445882	3350.396380	2011.024142	2862369.118872	2213744.605558	5307.798331	73682.304516	2255718.811538	1907294.935577	7178824.541225	6035.459083	
29.079670	23091700.940368	20904560.222443	5726178.394045	3678863.074320	5915.396574	3467.000956	3304001.366431	2467223.252685	8471.902582	118307.449596	2336280.197665	1975412.611848	11000733.027676	10569.622875	
30.082418	20002967.305160	18799613.463518	8209657.110767	5369955.916367	10359.859316	5887.490707	3900163.810924	2811994.087397	13119.913834	184970.042011	2402712.677434	2043530.288118	16059863.265770	18336.545060	
31.085165	16441056.958500	16231409.387572	11022485.152130	7380372.579295	17664.938076	9759.514640	4635500.730561	3271494.572156	19560.220733	279384.946336	2405200.002353	2111647.964389	22119372.687186	31062.021167	
32.087912	12736977.981079	13407007.977762	13763649.327389	9486705.748198	28924.523324	15640.423050	5578802.960973	3858362.703217	27913.207235	404704.147772	2399791.727481	2179765.640659	28585143.673018	50741.298400	
33.090659	9322217.915826	10621420.981624	16011367.393583	11396534.246503	45202.964342	23971.702701	6719514.883578	4570290.498612	37964.842671	560203.570559	2401594.137977	2249048.063928	34714405.900646	79385.272104	
34.093407	6540972.038205	8148131.149427	17483349.734909	12859088.226538	66999.112162	34978.225686	7995688.251591	5389148.118835	49258.863133	741075.279513	2401594.137977	2321718.017054	39896271.657337	118300.279379	
35.096154	4460151.218242	6148536.258742	18171194.148927	13797796.126851	93934.878658	48491.083982	9349712.743338	6238040.631960	61275.010835	939556.898464	2401594.137977	2353207.765586	43945197.619453	167517.581951	
36.098901	3009632.607118	4627216.708313	18201045.339312	14240007.720409	125072.564850	64026.155299	10726987.460866	7092949.605172	73530.027854	1148220.810808	2401594.137977	2350109.435681	46920134.110911	226112.231081	
37.101648	2028942.541047	3481545.461761	17778976.221032	14285097.308585	159034.160791	80939.130078	12083684.512987	7964411.357893	85630.564143	1360427.741684	2401594.137977	2350109.435681	49046495.423534	292448.625461	
38.104396	1376864.980850	2634928.994958	17072109.569241	14039288.363332	194514.488615	98710.549603	13395425.819297	8828431.053423	97353.141998	1571062.038684	2401594.137977	2350109.435681	50545189.450534	364921.922123	
39.107143	948220.235997	2015497.942930	16203779.918247	13593481.933073	230208.120253	116768.154464	14645518.572108	9670218.831999	108541.153395	1776454.137534	2401594.137977	2350109.435681	51593265.247415	441766.167441	
40.109890	665151.935172	1562142.651711	15261435.639665	13021343.494880	265019.639681	134615.949865	15825548.930038	10480135.796702	119111.855445	1974183.106842	2401594.137977	2350109.435681	52329688.839459	521371.916918	
41.112637	475483.371420	1227399.672583	14299751.718354	12377555.120806	298168.071416	151889.089081	16933821.141406	11252720.018487	129043.697404	2162857.099043	2401594.137977	2350109.435681	52854100.382339	602455.165175	
