Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	32136267.000000	27172420.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	32136265.967674	27023740.312768	1.921804	1.529429	0.000000	0.000018	0.109569	148679.139389	0.000953	0.018396	0.000000	148679.062397	1.657162	0.000019	
2.005495	32136264.162491	26875060.152158	3.520786	2.476847	0.000000	0.000109	0.313990	297358.323415	0.002732	0.047471	0.000000	297358.124794	4.560557	0.000113	
3.008242	32136261.002862	26726379.167525	6.307627	4.149869	0.000000	0.000367	0.683563	446037.586716	0.005948	0.095523	0.000000	446037.187191	9.642421	0.000384	
4.010989	32136255.480156	26577696.754231	11.167604	7.078978	0.000000	0.000992	1.340575	594716.988950	0.011665	0.176849	0.000000	594716.249588	18.516025	0.001049	
5.013736	32136245.823497	26429011.855198	19.654565	12.191620	0.000000	0.002380	2.500183	743396.634357	0.021755	0.316445	0.000000	743395.311985	34.009320	0.002536	
6.016484	32136228.942994	26280322.638674	34.478805	21.094510	0.000000	0.005340	4.538708	892076.703776	0.039493	0.557700	0.000000	892074.374382	61.043950	0.005726	
7.019231	32136199.583564	26131626.001017	60.248875	36.509728	0.000000	0.011365	8.097106	1040757.503705	0.070455	0.974185	0.000000	1040753.436779	107.978640	0.012246	
8.021978	32136148.249620	25982916.369559	105.289704	63.323501	0.000000	0.023484	14.335934	1189439.585200	0.124741	1.698255	0.000000	1189432.499176	189.881644	0.025408	
9.024725	32136059.013801	25834184.457173	183.561123	109.676450	0.000001	0.047361	25.205753	1338123.868044	0.219323	2.950972	0.000000	1338111.561573	331.967454	0.051407	
10.027473	32135904.051673	25685414.093410	319.446203	189.741310	0.000002	0.093387	44.118236	1486811.954372	0.383886	5.117521	0.000000	1486790.623970	578.230947	0.101642	
11.030220	32135633.994460	25536576.803597	556.193723	328.465433	0.000007	0.182080	77.140587	1635506.670872	0.671223	8.878018	0.000000	1635469.686367	1006.515576	0.198630	
12.032967	32135166.878217	25387625.563290	965.589836	567.038047	0.000022	0.349886	134.362794	1784212.691206	1.169131	15.357571	0.000000	1784148.748764	1745.809729	0.382418	
13.035714	32134356.511347	25238476.855307	1675.646333	978.600598	0.000064	0.665176	233.807824	1932938.322159	2.034432	26.556760	0.000000	1932827.811161	3025.822185	0.728251	
14.038462	32132950.427975	25088987.578031	2907.356951	1688.423817	0.000205	1.256902	406.676256	2081697.827629	3.538613	45.913621	0.000000	2081506.873558	5242.120437	1.378140	
15.041209	32130528.863800	24938920.791247	5028.084461	2903.888589	0.000590	2.348861	704.917446	2230514.843713	6.133702	79.127589	0.000000	2230185.935955	9051.408999	2.578816	
16.043956	32126334.428787	24787851.367218	8700.474264	4996.981211	0.001746	4.367972	1222.458214	2379431.838550	10.636989	136.445048	0.000000	2378864.998352	15636.205643	4.801701	
17.046703	32119093.137734	24635069.570642	15038.684420	8588.421978	0.005578	8.085665	2117.745086	2528519.892427	18.427181	235.029288	0.000000	2527544.060749	26980.230875	8.899846	
18.049451	32106667.634258	24479388.805171	25911.575103	14715.844221	0.015638	14.835408	3656.954611	2677897.912822	31.820390	403.602379	0.000000	2676223.123146	46407.437426	16.349581	
19.052198	32085213.472716	24318688.402238	44678.804491	25232.687382	0.046535	27.161627	6320.677748	2827779.059067	54.998510	693.689687	0.000000	2824902.185543	79882.939504	29.978249	
20.054945	32048408.237061	24149503.732605	76861.301161	43164.603461	0.146756	49.516980	10903.439661	2978513.215032	94.875362	1189.931921	0.000000	2973581.247940	137193.782394	54.759808	
21.057692	31985549.576479	23965988.247861	131802.295394	73616.490027	0.406523	89.624328	18752.546557	3130691.308454	163.175046	2035.329329	0.000000	3122260.310337	234888.865323	99.335533	
22.060440	31877852.169674	23757934.579504	225873.110912	125486.451173	1.207581	162.007019	32260.790550	3285355.636624	280.721282	3482.325680	0.000000	3270939.372734	401960.878089	180.193685	
23.063187	31695392.513750	23509139.743415	385086.656790	212865.685418	3.722310	291.457668	55303.859361	3444186.011888	481.247789	5938.101610	0.000000	3419618.435130	684536.307704	326.071208	
24.065934	31387860.491096	23192422.005938	653135.838786	359376.140292	10.232590	520.888823	94439.601311	3610012.933233	821.836217	10089.031714	0.000000	3568297.497527	1160107.005438	586.994202	
25.068681	30874656.634827	22764062.653200	1099447.219021	602733.448698	29.852536	928.077304	160735.426898	3787604.230140	1398.866717	17092.590658	0.000000	3716976.559924	1952991.152049	1059.148759	
26.071429	30040562.721591	22160961.271851	1822091.220442	996780.755948	87.836577	1640.545108	271165.961073	3984304.722996	2360.260317	28733.704097	0.000000	3865655.622321	3241507.384236	1912.087020	
27.074176	28711072.354498	21286590.418349	2968167.707783	1623311.405285	234.557476	2870.487176	452850.947924	4211795.384656	3942.432320	47853.304535	0.000000	4014334.684718	5296689.542435	3436.417082	
28.076923	26706042.066182	20033953.796973	4679431.867613	2568147.352801	635.031615	4959.414414	743682.505373	4486826.346670	6476.529218	78534.089143	0.000000	4163013.747115	8405677.389731	6195.044023	
29.079670	23890131.182097	18311276.567893	7044576.376059	3896136.348188	1642.116283	8385.511905	1189553.377756	4830654.609328	10364.947805	125967.962687	0.000000	4311692.809512	12795586.440498	11124.360681	
30.082418	20275466.675138	16083941.004750	9997484.565304	5610235.233730	3903.199270	13811.466913	1843340.144184	5268173.725604	16073.416105	196259.569003	0.000000	4460371.871909	18488907.448202	19690.425256	
