Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
0.000000	44498487.000000	2855219.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.002747	44261066.976389	2855218.950049	1.909902	0.974034	0.000029	0.000000	237419.112725	0.061279	0.000955	0.014638	237419.003022	0.000000	1.070540	0.000030	
2.005495	44023646.345480	2855218.881588	3.337668	0.967866	0.000157	0.000000	474838.314013	0.121519	0.002681	0.029027	474838.006044	0.000000	2.766888	0.000164	
3.008242	43786224.754855	2855218.783059	5.584288	0.991177	0.000490	0.000000	712257.654744	0.182234	0.005622	0.043530	712257.009066	0.000000	5.453020	0.000520	
4.010989	43548801.661453	2855218.636577	9.113046	1.059066	0.001217	0.000000	949677.213817	0.245673	0.010467	0.058684	949676.012088	0.000000	9.689882	0.001310	
5.013736	43311376.206218	2855218.413760	14.656220	1.195610	0.002671	0.000000	1187097.116583	0.315311	0.018309	0.075319	1187095.015110	0.000000	16.364912	0.002907	
6.016484	43073947.042437	2855218.069787	23.360174	1.438913	0.005467	0.000000	1424517.561046	0.396570	0.030876	0.094729	1424514.018132	0.000000	26.869644	0.006007	
7.019231	42836512.150571	2855217.537077	36.942308	1.846478	0.010630	0.000000	1661938.845717	0.497587	0.050774	0.118859	1661933.021154	0.000000	43.291198	0.011773	
8.021978	42599068.341006	2855216.708605	58.113652	2.509424	0.019858	0.000000	1899361.443352	0.631197	0.082132	0.150775	1899352.024176	0.000000	68.926213	0.022137	
9.024725	42361610.559103	2855215.413232	91.163748	3.573369	0.036250	0.000000	2136786.109349	0.818002	0.131550	0.195397	2136771.027198	0.000000	109.000467	0.040641	
10.027473	42124131.386532	2855213.397961	142.380156	5.253427	0.064837	0.000000	2374213.959693	1.088582	0.208782	0.260031	2374190.030220	0.000000	171.185288	0.073048	
11.030220	41886619.514422	2855210.276578	221.345681	7.877929	0.113413	0.000000	2611646.697767	1.489657	0.328717	0.355836	2611609.033242	0.000000	267.175758	0.128304	
12.032967	41649056.642259	2855205.418695	343.544636	11.982153	0.195990	0.000000	2849087.101466	2.098001	0.515649	0.501151	2849028.036264	0.000000	415.902783	0.222545	
13.035714	41411415.833387	2855197.889049	531.737060	18.359375	0.335117	0.000000	3086539.288828	3.028222	0.805607	0.723354	3086447.039286	0.000000	645.238278	0.381781	
14.038462	41173657.255015	2855186.297324	819.548749	28.187835	0.565992	0.000000	3324009.378111	4.451505	1.252133	1.063335	3323866.042308	0.000000	996.405354	0.646696	
15.041209	40935718.870374	2855168.471550	1259.321863	43.307061	0.945042	0.000001	3561506.923867	6.636194	1.938855	1.585194	3561285.045330	0.000000	1533.612746	1.082653	
16.043956	40697504.193914	2855140.999469	1932.318706	66.602585	1.568834	0.000001	3799046.921454	10.007454	2.997092	2.390491	3798704.048352	0.000000	2356.758265	1.801733	
17.046703	40458875.187452	2855098.962001	2954.639426	102.229234	2.585066	0.000003	4036650.971968	15.182180	4.616088	3.626583	4036123.051374	0.000000	3608.799174	2.975612	
18.049451	40219626.078546	2855035.010897	4499.291326	156.390422	4.217486	0.000007	4274351.334160	23.084464	7.078483	5.514210	4273542.054396	0.000000	5502.856162	4.864833	
19.052198	39979432.871387	2854937.484690	6838.290227	238.917496	6.841285	0.000016	4512199.164434	35.191554	10.832667	8.406244	4510961.057418	0.000000	8374.586506	7.907173	
20.054945	39737820.833316	2854789.144364	10369.551007	364.323632	11.044756	0.000038	4750270.029631	53.703702	16.541290	12.828264	4748380.060440	0.000000	12715.961881	12.789986	
21.057692	39494106.341958	2854564.975996	15665.251256	553.639787	17.721871	0.000091	4988673.519214	81.835886	25.165701	19.548239	4985799.063462	0.000000	19235.618585	20.559602	
