Age,M,F
0-4,2918993,2845952
5-9,2943352,2877308
10-14,2774621,2721342
15-19,2472380,2440831
20-24,2476821,2447270
25-29,2628636,2588762
30-34,2710031,2664079
35-39,2403602,2377613
40-44,1892772,1917268
45-49,1578214,1655021
50-54,1290806,1401326
55-59,1035566,1183834
60-64,804405,990310
65-69,584956,784770
70-74,359322,535895
75-79,213173,367665
80-84,95571,202849
85-89,28462,75492
90-94,4070,14023
95-99,248,1026
100+,10,42
